OBD times,OBD rpm,OBD coolant temperature,OBD engine load,OBD velocity
111,0,33.14149203,20.85741555,1.79E-08
112,0,33.13966278,20.85626432,1.29E-08
113,0,33.13783388,20.85511331,9.40E-09
114,0,33.13600531,20.85396251,6.89E-09
115,0,33.13417707,20.85281192,5.09E-09
116,0,33.13234917,20.85166154,3.78E-09
117,0,33.13052161,20.85051138,2.83E-09
118,0,33.12869438,20.84936142,2.12E-09
119,0,33.12686749,20.84821168,1.60E-09
120,0,33.12504094,20.84706214,1.21E-09
121,0,33.12321472,20.84591282,9.13E-10
122,0,33.12138883,20.84476371,6.93E-10
123,0,33.11956328,20.84361481,5.27E-10
124,0,33.11773807,20.84246613,3.73E-10
125,0,33.11591319,20.84131765,1.53E-20
126,0,33.11408865,20.84016938,1.53E-20
127,0,33.11226444,20.83902133,1.53E-20
128,0,33.11044057,20.83787348,1.53E-20
129,0,33.10861703,20.83672585,1.53E-20
130,0,33.10679383,20.83557843,1.53E-20
131,0,33.10497097,20.83443122,1.53E-20
132,0,33.10314843,20.83328422,1.53E-20
133,0,33.10132624,20.83213743,1.53E-20
134,0,33.09950437,20.83099085,1.53E-20
135,0,33.09768285,20.82984448,1.53E-20
136,0,33.09586165,20.82869832,1.53E-20
137,0,33.0940408,20.82755238,1.47E-20
138,0,33.09222027,20.82640664,0.00E+00
139,0,33.09040008,20.82526111,0.442124085
140,0,33.08858023,20.8241158,3.292186315
141,0,33.08676071,20.82297069,8.148139062
142,0,33.08494152,20.8218258,13.93715788
143,595.5431779,33.13443631,20.85297507,17.60696423
144,757.759755,33.222736,20.90854599,19.43394382
145,994.3730066,33.36252859,20.99652369,20.44973453
146,1687.654448,33.60923192,21.15178508,21.84661664
147,1353.29309,33.79169929,21.26661991,24.15130384
148,1348.689906,33.93355419,21.35589551,26.65018872
149,1419.184433,34.05903618,21.4348669,28.59267184
150,1516.126198,34.20593697,21.52731811,29.66818562
151,1676.06843,34.40502326,21.65261197,29.78007734
152,1849.487724,34.63358836,21.79645816,28.44258
153,1984.293474,34.85435903,21.93539897,24.9218912
154,2058.932703,35.04509507,22.05543764,19.87990136
155,2066.69784,35.19322522,22.14866253,15.17464593
156,1973.8773,35.25663199,22.18856724,12.41339472
157,1729.54617,35.2544464,22.18719175,12.00089357
158,1379.638767,35.25216021,22.18575295,12.98622753
159,1053.100286,35.25983732,22.19058449,15.29402115
160,861.473117,35.29076422,22.21004817,18.55866653
161,832.8460844,35.34011521,22.24110694,21.8625365
162,901.2269536,35.4178098,22.2900036,24.68881582
163,1061.384768,35.54966202,22.37298408,26.76908621
164,1287.946824,35.74244938,22.49431374,28.66310508
165,1517.231015,35.96042567,22.63149592,30.34028733
166,1713.371048,36.18545299,22.77311562,31.78884569
167,1857.739052,36.39295645,22.90370678,32.8346522
168,1350.614063,36.55885026,23.00811114,34.27130442
169,1304.155717,36.73294798,23.11767858,36.28593611
170,1366.42097,36.90948338,23.22878016,37.82180785
171,1411.37422,37.06677134,23.32776847,38.02920362
172,1473.127696,37.25196998,23.44432222,36.50662563
173,1559.72521,37.48445832,23.59063747,33.15700281
174,1625.743566,37.69699399,23.72439562,29.06362938
175,1634.658326,37.82733603,23.80642567,26.17785345
176,1569.211392,37.86572689,23.83058675,24.62169227
177,1425.230232,37.8629175,23.82881868,25.11418006
178,1249.279481,37.8604344,23.82725595,26.53595461
179,1125.236451,37.87058642,23.83364506,28.3331044
180,1587.423604,37.94916205,23.8830962,29.35642274
181,1742.890761,38.09226771,23.97315897,29.65320764
182,1841.560028,38.26632184,24.08269898,29.47865274
183,1334.753175,38.42292312,24.18125513,28.91701876
184,1261.864995,38.55478104,24.26423918,27.30674925
185,1274.622084,38.65540672,24.3275674,24.38773122
186,1267.118965,38.73070218,24.37495419,21.88844972
187,1242.977527,38.78674815,24.4102264,19.62728369
188,1173.761235,38.80937653,24.42446745,17.75022973
189,1565.508267,38.83924067,24.44326229,16.11647164
190,1519.029357,38.84710536,24.44821189,14.96928129
191,1362.107436,38.86170874,24.45740244,13.95099341
192,1231.842383,38.87158258,24.46361649,13.16882487
193,1118.46174,38.90461853,24.48440748,12.54665203
194,1038.848252,38.9429211,24.50851299,12.20539401
195,968.1804255,38.9742032,24.52820021,11.96878456
196,913.8989666,39.00940872,24.55035661,11.86543573
197,870.7209974,39.04699194,24.57400941,11.89475569
198,847.0381439,39.09027405,24.60124876,11.92819743
199,830.6177623,39.13486393,24.62931116,12.13350543
200,823.4454905,39.18147622,24.65864635,12.67132011
201,825.4802566,39.2306443,24.68959001,13.4153606
202,827.8010689,39.28004642,24.72068096,14.47226499
203,842.0491719,39.33321353,24.75414139,15.72500771
204,879.3727967,39.39604387,24.79368331,17.69306487
205,931.0082192,39.46693974,24.83830124,20.20984777
206,1004.355981,39.55089212,24.89113621,22.66098046
207,1091.294663,39.64766019,24.95203666,25.50806576
208,1227.875218,39.78001318,25.03533229,28.09016654
209,1402.53661,39.95082082,25.14282914,30.67952291
210,1572.641966,40.13647592,25.25967015,33.5926144
211,1770.225907,40.36128657,25.40115349,36.54245062
212,1323.70908,40.56300367,25.52810304,38.62512359
213,1318.737517,40.79181059,25.67210141,40.13038217
214,1443.954687,41.0663648,25.8448906,41.20161206
215,1570.751304,41.36497818,26.03282128,42.2528872
216,1660.273523,41.61052366,26.18735398,43.88763897
217,1724.975995,41.82608811,26.32301828,45.95731548
218,1279.082668,41.97909776,26.41931406,48.11508658
219,1224.534881,42.14764205,26.52538648,49.99717593
220,1271.911775,42.38194802,26.67284565,51.48000708
221,1331.893264,42.68118051,26.86116597,52.5493025
222,1394.42783,42.99985112,27.06171957,53.22083981
223,1448.972838,43.2934937,27.24652191,53.44484854
224,1491.946906,43.54571116,27.40525357,53.62974453
225,1522.936257,43.76254148,27.54171454,53.94841061
226,1542.398143,43.94463207,27.65631225,54.4001359
227,1225.6211,44.06105083,27.72957976,54.9773696
228,1174.398642,44.18058185,27.80480595,55.52476299
229,1181.376878,44.31933051,27.89212665,56.02290823
230,1191.268881,44.47310358,27.98890289,56.41982101
231,1203.909301,44.64250006,28.09551163,56.65145011
232,1215.896269,44.81026903,28.20109611,56.58777085
233,1226.804788,44.97396549,28.30411758,55.93205083
234,1235.496491,45.12800728,28.40106293,54.16003129
235,1240.568768,45.26552985,28.487612,52.10533743
236,1239.174302,45.37117009,28.55409611,50.16333593
237,1224.815168,45.42622094,28.58874205,49.24016675
238,1186.011005,45.42971751,28.5909426,48.61488266
239,1141.016764,45.44343512,28.5995757,47.53769715
240,1389.849367,45.46672202,28.61423119,45.47028995
241,1427.033884,45.51168769,28.64253008,42.76241067
242,1408.912467,45.5687812,28.67846157,40.36988789
243,1377.694453,45.59438139,28.69457291,37.92357321
244,1317.778731,45.59004972,28.6918468,35.50842151
245,1239.301428,45.58563414,28.68906787,33.20433907
246,1169.963502,45.59030981,28.69201048,30.42137961
247,1528.756091,45.60685199,28.70242121,26.82246265
248,1526.304296,45.60637258,28.7021195,23.1297047
249,1427.264948,45.60200838,28.69937291,21.17269017
250,1307.641411,45.59765867,28.69663544,20.37696649
251,1152.944519,45.59856943,28.69720863,19.75997762
252,1487.87338,45.6365481,28.72111029,18.81371281
253,1469.356595,45.676258,28.7461015,17.95248892
254,1414.134428,45.73345645,28.78209903,17.6258821
255,1371.316219,45.78899801,28.8170538,17.50349032
256,1305.646697,45.83177454,28.84397498,16.52908253
257,1245.878902,45.87283268,28.86981469,14.9588572
258,1223.212823,45.9276027,28.9042839,14.73913337
259,1214.718996,45.98903783,28.94294777,16.32915377
260,1147.096388,46.02591258,28.96615468,19.10810774
261,1038.124834,46.05966134,28.98739428,21.96397696
262,1022.876293,46.11458276,29.02195878,24.58165196
263,1133.221598,46.22037165,29.08853643,27.32129916
264,1326.077315,46.38616345,29.19287659,30.69242757
265,1524.270848,46.57701922,29.31299062,34.08749006
266,1705.934018,46.77720651,29.43897739,37.40860113
267,1896.061898,47.00349628,29.58139161,39.99497726
